query_id,evaluation
1,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5"
2,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
3,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
4,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5"
5,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
6,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
7,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5"
8,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5"
9,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
10,"V1:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 5

V2:
Accuracy: 5
Relevance: 5
Groundedness: 5
Overall: 4"
